title,country,mbfc_page,bias_raw,Factual,Ideology,url
Bing News,USA,leftcenter,leftcenter04,High,LC,https://www.bing.com/news/
BillMoyers.com,,leftcenter,leftcenter09,High,LC,https://billmoyers.com/
Berliner Zeitung,Germany,leftcenter,leftcenter08,MostlyFactual,LC,https://www.berliner-zeitung.de/
Birmingham Mail,UK,leftcenter,leftcenter01,MostlyFactual,LC,https://www.birminghammail.co.uk
Bluestem Prairie,USA,leftcenter,leftcenter05,High,LC,http://www.bluestemprairie.com/
Bleacher Report,USA,leftcenter,leftcenter08,MostlyFactual,LC,https://bleacherreport.com/
Bloomberg News,USA,leftcenter,leftcenter10,MostlyFactual,LC,https://www.bloomberg.com/
Boy Genius Report (BGR),,leftcenter,leftcenter08,High,LC,https://bgr.com/
Brampton Guardian,Canada,leftcenter,leftcenter09,High,LC,https://www.bramptonguardian.com
Boston.com,USA,leftcenter,leftcenter10,High,LC,https://www.boston.com/
Boston Globe,USA,leftcenter,leftcenter07,High,LC,https://www.bostonglobe.com/
Brennan Center for Justice,USA,leftcenter,leftcenter03,High,LC,https://www.brennancenter.org/
Buffalo News,USA,leftcenter,leftcenter06,High,LC,https://www.buffalonews.com/
Brookings Institution,USA,leftcenter,leftcenter09,Veryhigh,LC,https://www.brookings.edu/
Bustle Magazine,USA,leftcenter,leftcenter02,MostlyFactual,LC,https://www.bustle.com/
CalWatchdog.com,,leftcenter,leftcenter10,High,LC,https://calwatchdog.com
Business Insider,USA,leftcenter,leftcenter06,High,LC,http://www.businessinsider.com/
Buzzfeed,USA,leftcenter,leftcenter01,Mixed,LC,https://www.buzzfeed.com/
